ID,,latitude,longitude
Bat1,,44.5132214,11.8319481
Bat2,,44.467038,11.9601735
Bat3,,45.41777561,11.00179252
Bat4,,45.43742919,12.34080655
Bat5,,44.90599794,8.181715645
Bat6,,42.83971,3.037908
Bat7,,45.6161824,-0.989869
Bat8,,51.003381,2.383841
Bat9,,51.03341018,2.394424736
Bat10,,45.18121,5.710081
Bat11,,43.271047,5.392187
Bat12,,45.584446,4.752531
Bat13,,43.904854,12.869609
Bat14,,52.312081,4.938682
Bat15,,47.190638,18.406584
Bat16,,51.949406,4.554674
Bat17,,59.06828,10.047721
Bat18,,59.742861,10.158105
Bat19,,57.737975,12.105035
Bat20,,40.369084,-3.598194
Bat21,,56.14936364,10.20487336
Bat22,,45.443791,9.1890025
Bat23,,44.4056499,8.946256
Bat24,,45.5457255,9.4540987
Bat25,,52.0631243,4.4920306
Bat26,,52.0348856,5.096561
Bat27,,51.4730765,-3.1775049
Bat28,,56.1644513,10.2115191
Bat29,,48.8702724,2.3336061
Bat30,,48.859691,2.3179431
Bat31,,48.582865,7.7710037
Bat32,,48.5887768,7.7524767
Bat33,,48.5875484,7.7566687
Bat34,,48.7172796,21.2627444
Bat35,,45.2296473,27.9359726
Bat36,,53.024242,18.6399209
Bat37,,52.269975,4.649644
Bat38,,52.368183,4.9353564
Bat39,,52.2879139,4.7558362
Bat40,,48.8001961,2.4103463
Bat41,,44.4003535,8.9465361
Bat42,,52.2243919,21.0404569
Bat43,,48.8316182,2.3868116
Bat44,,48.8586146,2.3284806
Bat45,,48.8525523,2.3720026
Bat46,,48.8457796,2.3715543
Bat47,,48.8393717,2.2632735
Bat48,,48.8218702,2.2550875
Bat49,,48.8854697,2.249108
Bat50,,52.9497169,4.767462
