,ID,Unnamed: 1,latitude,longitude,ssp245_continuous_score,ssp585_continuous_score
0,Bat1,,44.5132214,11.8319481,0.0,0.0
1,Bat2,,44.467038,11.9601735,0.0,0.0
2,Bat3,,45.41777561,11.00179252,0.0,0.0
3,Bat4,,45.43742919,12.34080655,0.0,0.0
4,Bat5,,44.90599794,8.181715645,0.0,0.0
5,Bat6,,42.83971,3.037908,0.0,0.0
6,Bat7,,45.6161824,-0.989869,0.0,0.0
7,Bat8,,51.003381,2.383841,0.0,0.0
8,Bat9,,51.03341018,2.394424736,0.0,0.0
9,Bat10,,45.18121,5.710081,0.0,0.0
10,Bat11,,43.271047,5.392187,0.0,0.0
11,Bat12,,45.584446,4.752531,0.0,0.0
12,Bat13,,43.904854,12.869609,0.0,0.0
13,Bat14,,52.312081,4.938682,2.311735153198242,2.367234706878662
14,Bat15,,47.190638,18.406584,0.0,0.0
15,Bat16,,51.949406,4.554674,4.183071136474609,4.2385711669921875
16,Bat17,,59.06828,10.047721,0.0,0.0
17,Bat18,,59.742861,10.158105,0.0,0.0
18,Bat19,,57.737975,12.105035,0.0,0.0
19,Bat20,,40.369084,-3.598194,0.0,0.0
20,Bat21,,56.14936364,10.20487336,0.0,0.0
21,Bat22,,45.443791,9.1890025,0.0,0.0
22,Bat23,,44.4056499,8.946256,0.0,0.0
23,Bat24,,45.5457255,9.4540987,0.0,0.0
24,Bat25,,52.0631243,4.4920306,0.0,0.0
25,Bat26,,52.0348856,5.096561,0.0,0.0
26,Bat27,,51.4730765,-3.1775049,0.0,0.0
27,Bat28,,56.1644513,10.2115191,0.0,0.0
28,Bat29,,48.8702724,2.3336061,0.0,0.0
29,Bat30,,48.859691,2.3179431,0.0,0.0
30,Bat31,,48.582865,7.7710037,0.0,0.0
31,Bat32,,48.5887768,7.7524767,0.0,0.0
32,Bat33,,48.5875484,7.7566687,0.0,0.0
33,Bat34,,48.7172796,21.2627444,0.0,0.0
34,Bat35,,45.2296473,27.9359726,0.0,0.0
35,Bat36,,53.024242,18.6399209,0.0,0.0
36,Bat37,,52.269975,4.649644,2.994300603866577,3.049800395965576
37,Bat38,,52.368183,4.9353564,0.0,0.0
38,Bat39,,52.2879139,4.7558362,2.7359769344329834,2.7914767265319824
39,Bat40,,48.8001961,2.4103463,0.0,0.0
40,Bat41,,44.4003535,8.9465361,0.0,0.0
41,Bat42,,52.2243919,21.0404569,0.0,0.0
42,Bat43,,48.8316182,2.3868116,0.0,0.0
43,Bat44,,48.8586146,2.3284806,0.0,0.0
44,Bat45,,48.8525523,2.3720026,0.0,0.0
45,Bat46,,48.8457796,2.3715543,0.0,0.0
46,Bat47,,48.8393717,2.2632735,0.0,0.0
47,Bat48,,48.8218702,2.2550875,0.0,0.0
48,Bat49,,48.8854697,2.249108,0.0,0.0
49,Bat50,,52.9497169,4.767462,2.100799322128296,2.156299114227295
