,ID,Unnamed: 1,latitude,longitude,ssp245_average_inundation_depth_2050,ssp585_average_inundation_depth_2050,ssp245_average_inundation_depth_1980,ssp585_average_inundation_depth_1980,ssp245_continuous_score,ssp585_continuous_score,ssp245_discrete_score,ssp585_discrete_score
0,Bat1,,44.5132214,11.8319481,0.09,0.09,0.08,0.08,0.08,0.08,1.0,1.0
1,Bat2,,44.467038,11.9601735,,,,,,,,
2,Bat3,,45.41777561,11.00179252,,,,,,,,
3,Bat4,,45.43742919,12.34080655,,,,,,,,
4,Bat5,,44.90599794,8.181715645,,,,,,,,
5,Bat6,,42.83971,3.037908,,,,,,,,
6,Bat7,,45.6161824,-0.989869,,,,,,,,
7,Bat8,,51.003381,2.383841,,,,,,,,
8,Bat9,,51.03341018,2.394424736,,,,,,,,
9,Bat10,,45.18121,5.710081,,,,,,,,
10,Bat11,,43.271047,5.392187,,,,,,,,
11,Bat12,,45.584446,4.752531,,,,,,,,
12,Bat13,,43.904854,12.869609,0.07,0.07,0.09,0.09,0.09,0.09,1.0,1.0
13,Bat14,,52.312081,4.938682,0.02,0.02,0.02,0.02,0.02,0.02,1.0,1.0
14,Bat15,,47.190638,18.406584,,,,,,,,
15,Bat16,,51.949406,4.554674,0.26,0.27,0.25,0.25,0.25,0.25,2.0,2.0
16,Bat17,,59.06828,10.047721,,,,,,,,
17,Bat18,,59.742861,10.158105,1.41,1.46,1.54,1.54,1.54,1.54,2.0,2.0
18,Bat19,,57.737975,12.105035,3.33,3.39,3.28,3.28,3.28,3.28,4.0,4.0
19,Bat20,,40.369084,-3.598194,,,,,,,,
20,Bat21,,56.14936364,10.20487336,,,,,,,,
21,Bat22,,45.443791,9.1890025,,,,,,,,
22,Bat23,,44.4056499,8.946256,,,,,,,,
23,Bat24,,45.5457255,9.4540987,,,,,,,,
24,Bat25,,52.0631243,4.4920306,0.26,0.27,0.25,0.25,0.25,0.25,2.0,2.0
25,Bat26,,52.0348856,5.096561,,,,,,,,
26,Bat27,,51.4730765,-3.1775049,,,,,,,,
27,Bat28,,56.1644513,10.2115191,,,,,,,,
28,Bat29,,48.8702724,2.3336061,,,,,,,,
29,Bat30,,48.859691,2.3179431,0.56,0.51,0.51,0.51,0.51,0.51,2.0,2.0
30,Bat31,,48.582865,7.7710037,,,,,,,,
31,Bat32,,48.5887768,7.7524767,,,,,,,,
32,Bat33,,48.5875484,7.7566687,,,,,,,,
33,Bat34,,48.7172796,21.2627444,0.88,0.76,1.27,1.27,1.27,1.27,2.0,2.0
34,Bat35,,45.2296473,27.9359726,0.21,0.19,0.26,0.26,0.26,0.26,2.0,2.0
35,Bat36,,53.024242,18.6399209,,,,,,,,
36,Bat37,,52.269975,4.649644,0.02,0.02,0.01,0.01,0.01,0.01,1.0,1.0
37,Bat38,,52.368183,4.9353564,,,,,,,,
38,Bat39,,52.2879139,4.7558362,0.02,0.02,0.01,0.01,0.01,0.01,1.0,1.0
39,Bat40,,48.8001961,2.4103463,0.63,0.57,0.58,0.58,0.58,0.58,2.0,2.0
40,Bat41,,44.4003535,8.9465361,,,,,,,,
41,Bat42,,52.2243919,21.0404569,,,,,,,,
42,Bat43,,48.8316182,2.3868116,0.56,0.51,0.51,0.51,0.51,0.51,2.0,2.0
43,Bat44,,48.8586146,2.3284806,0.56,0.51,0.51,0.51,0.51,0.51,2.0,2.0
44,Bat45,,48.8525523,2.3720026,,,,,,,,
45,Bat46,,48.8457796,2.3715543,,,,,,,,
46,Bat47,,48.8393717,2.2632735,0.56,0.51,0.51,0.51,0.51,0.51,2.0,2.0
47,Bat48,,48.8218702,2.2550875,,,,,,,,
48,Bat49,,48.8854697,2.249108,,,,,,,,
49,Bat50,,52.9497169,4.767462,,,,,,,,
